x,y,dx,dy,dx_1,dy_1,dx_2,dy_2,dx_3,dy_3,dx_4,dy_4,dx_5,dy_5,dx_6,dy_6,dx_7,dy_7,dx_8,dy_8,dx_9,dy_9,dx_10,dy_10,dx_true,dy_true
652.0,379.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0
650.0,379.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0
648.0,379.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,-3.0,-1.0,0.0,0.0
646.0,379.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,-1.0,0.0,0.0,0.0
643.0,379.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,-3.0,-2.0,0.0,0.0
641.0,379.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,0.0
638.0,380.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,-2.0,-1.0,0.0,0.0
635.0,382.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,-4.0,0.0,0.0,0.0
631.0,383.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,-3.0,-1.0,0.0,0.0
628.0,385.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,-3.0,0.0,0.0,0.0
625.0,386.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0
622.0,388.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0
621.0,389.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,-2.0,0.0,0.0,0.0
620.0,390.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,-3.0,0.0,0.0,0.0
619.0,391.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,-2.0,0.0,0.0,0.0
617.0,393.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,-3.0,1.0,0.0,0.0
617.0,394.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,-3.0,2.0,0.0,0.0
616.0,396.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,-4.0,1.0,0.0,0.0
616.0,397.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,-3.0,2.0,0.0,0.0
615.0,398.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,-3.0,1.0,0.0,0.0
615.0,400.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-3.0,2.0,0.0,0.0
615.0,401.0,0.0,1.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,-2.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0
